Participant,block,Trial_Index_,identifier,face,you,proposer,fairness,OFFER_CUMMULATIVE,KEY_PRESSED,RT,accept,emotion,gender
P1,3,1,63,DST_081_M_ANG.png,600,400,hyperfair,0,j,3244.33,a,0,1
P1,3,2,43,DST_047_M_ANG.png,300,700,unfair,0,j,1450.73,a,0,1
P1,3,3,141,DST_079_M_HPY.png,800,200,hyperfair,0,a,1215.95,a,1,1
P1,3,4,17,DST_145_F_ANG.png,500,500,fair,0,j,1150.17,a,0,0
P1,3,5,7,DST_009_F_ANG.png,300,700,unfair,0,j,1166.25,a,0,0
P1,3,6,2,DST_017_F_ANG.png,100,900,unfair,0,j,1229.81,a,0,0
P1,3,7,113,DST_016_M_HPY.png,200,800,unfair,0,j,1035.08,a,1,1
P1,3,8,61,DST_010_M_ANG.png,600,400,hyperfair,0,j,1649.39,a,0,1
P1,3,9,126,DST_114_M_HPY.png,500,500,fair,0,j,4752.32,a,1,1
P1,3,10,83,DST_124_F_HPY.png,400,600,unfair,0,j,706.46,a,1,0
P1,3,11,26,DST_135_F_ANG.png,600,400,hyperfair,0,j,996.45,a,0,0
P1,3,12,54,DST_022_M_ANG.png,500,500,fair,0,j,746.73,a,0,1
P1,3,13,140,DST_018_M_HPY.png,800,200,hyperfair,0,a,876.2,a,1,1
P1,3,14,31,DST_171_F_ANG.png,800,200,hyperfair,0,a,778.99,a,0,0
P1,3,15,135,DST_071_M_HPY.png,600,400,hyperfair,0,j,953.58,a,1,1
P1,3,16,6,DST_130_F_ANG.png,200,800,unfair,0,j,802.37,a,0,0
P1,3,17,90,DST_164_F_HPY.png,500,500,fair,0,j,783.48,a,1,0
P1,3,18,124,DST_013_M_HPY.png,500,500,fair,0,j,723.88,a,1,1
P1,3,19,66,DST_114_M_ANG.png,700,300,hyperfair,0,a,1411.65,a,0,1
P1,3,20,77,DST_017_F_HPY.png,200,800,unfair,0,j,920.29,a,1,0
P1,3,21,103,DST_126_F_HPY.png,800,200,hyperfair,0,a,873.5,a,1,0
P1,3,22,56,DST_120_M_ANG.png,500,500,fair,0,j,951.23,a,0,1
P1,3,23,96,DST_162_F_HPY.png,500,500,fair,0,j,979.06,a,1,0
P1,3,24,45,DST_099_M_ANG.png,300,700,unfair,0,j,1706.65,a,0,1
P1,3,25,60,DST_118_M_ANG.png,500,500,fair,0,j,660.58,a,0,1
P1,3,26,100,DST_065_F_HPY.png,700,300,hyperfair,0,a,1322.5,a,1,0
P1,3,27,70,DST_115_M_ANG.png,900,100,hyperfair,0,a,1139.31,a,0,1
